4.00E-09,9.14E-01
1.40E-08,1.226
2.40E-08,1.402
3.40E-08,1.355
4.40E-08,1.109
5.40E-08,7.82E-01
6.40E-08,5.52E-01
7.40E-08,5.00E-01
8.40E-08,5.20E-01
9.40E-08,8.55E-01
1.04E-07,1.186
1.14E-07,1.39
1.24E-07,1.375
1.34E-07,1.152
1.44E-07,8.27E-01
1.54E-07,5.71E-01
1.64E-07,5.05E-01
1.74E-07,5.02E-01
1.84E-07,8.05E-01
1.94E-07,1.143
2.04E-07,1.373
2.14E-07,1.392
2.24E-07,1.194
2.34E-07,8.74E-01
2.44E-07,5.95E-01
2.54E-07,5.11E-01
2.64E-07,4.95E-01
2.74E-07,7.55E-01
2.84E-07,1.098
2.94E-07,1.351
3.04E-07,1.403
3.14E-07,1.233
3.24E-07,9.22E-01
3.34E-07,6.24E-01
3.44E-07,5.17E-01
3.54E-07,4.92E-01
3.64E-07,7.05E-01
3.74E-07,1.052
3.84E-07,1.326
3.94E-07,1.41
4.04E-07,1.269
4.14E-07,9.69E-01
4.24E-07,6.59E-01
4.34E-07,5.22E-01
4.44E-07,4.92E-01
4.54E-07,6.53E-01
4.64E-07,1.004
4.74E-07,1.296
4.84E-07,1.412
4.94E-07,1.301
5.04E-07,1.017
5.14E-07,6.97E-01
5.24E-07,5.29E-01
5.34E-07,4.94E-01
5.44E-07,5.99E-01
5.54E-07,9.54E-01
5.64E-07,1.263
5.74E-07,1.409
5.84E-07,1.33
5.94E-07,1.063
6.04E-07,7.38E-01
6.14E-07,5.39E-01
6.24E-07,4.96E-01
6.34E-07,5.52E-01
6.44E-07,9.05E-01
