9.00E-09,1.055
1.90E-08,1.319
2.90E-08,1.39
3.90E-08,1.235
4.90E-08,9.24E-01
5.90E-08,6.01E-01
6.90E-08,4.10E-01
7.90E-08,4.39E-01
8.90E-08,6.74E-01
9.90E-08,1.008
1.09E-07,1.291
1.19E-07,1.394
1.29E-07,1.27
1.39E-07,9.73E-01
1.49E-07,6.42E-01
1.59E-07,4.25E-01
1.69E-07,4.21E-01
1.79E-07,6.31E-01
1.89E-07,9.60E-01
1.99E-07,1.259
2.09E-07,1.394
2.19E-07,1.301
2.29E-07,1.022
2.39E-07,6.85E-01
2.49E-07,4.44E-01
2.59E-07,4.07E-01
2.69E-07,5.91E-01
2.79E-07,9.11E-01
2.89E-07,1.224
2.99E-07,1.388
3.09E-07,1.328
3.19E-07,1.069
3.29E-07,7.31E-01
3.39E-07,4.68E-01
3.49E-07,3.98E-01
3.59E-07,5.53E-01
3.69E-07,8.62E-01
3.79E-07,1.186
3.89E-07,1.377
3.99E-07,1.35
4.09E-07,1.114
4.19E-07,7.78E-01
4.29E-07,4.96E-01
4.39E-07,3.94E-01
4.49E-07,5.19E-01
4.59E-07,8.14E-01
4.69E-07,1.145
4.79E-07,1.362
4.89E-07,1.368
4.99E-07,1.157
5.09E-07,8.27E-01
5.19E-07,5.27E-01
5.29E-07,3.94E-01
5.39E-07,4.88E-01
5.49E-07,7.66E-01
5.59E-07,1.101
5.69E-07,1.343
5.79E-07,1.382
5.89E-07,1.198
5.99E-07,8.75E-01
6.09E-07,5.62E-01
6.19E-07,4.00E-01
6.29E-07,4.62E-01
6.39E-07,7.19E-01
6.49E-07,1.055
