time (s),sample(v("/out" ?result "tran") 9n 649n "linear" 10n ) (V)
9.000E-9,1.051
19.00E-9,1.313
29.00E-9,1.383
39.00E-9,1.228
49.00E-9,918.3E-3
59.00E-9,595.2E-3
69.00E-9,405.1E-3
79.00E-9,434.2E-3
89.00E-9,669.4E-3
99.00E-9,1.004
109.0E-9,1.286
119.0E-9,1.387
129.0E-9,1.262
139.0E-9,967.0E-3
149.0E-9,636.2E-3
159.0E-9,419.8E-3
169.0E-9,416.0E-3
179.0E-9,626.5E-3
189.0E-9,955.7E-3
199.0E-9,1.254
209.0E-9,1.387
219.0E-9,1.293
229.0E-9,1.015
239.0E-9,679.7E-3
249.0E-9,439.1E-3
259.0E-9,402.3E-3
269.0E-9,586.1E-3
279.0E-9,906.9E-3
289.0E-9,1.219
299.0E-9,1.381
309.0E-9,1.319
319.0E-9,1.062
329.0E-9,725.2E-3
339.0E-9,462.7E-3
349.0E-9,393.3E-3
359.0E-9,548.5E-3
369.0E-9,857.9E-3
379.0E-9,1.181
389.0E-9,1.371
399.0E-9,1.342
409.0E-9,1.107
419.0E-9,772.3E-3
429.0E-9,490.4E-3
439.0E-9,389.0E-3
449.0E-9,514.3E-3
459.0E-9,809.2E-3
469.0E-9,1.140
479.0E-9,1.356
489.0E-9,1.360
499.0E-9,1.150
509.0E-9,820.4E-3
519.0E-9,521.9E-3
529.0E-9,389.6E-3
539.0E-9,483.6E-3
549.0E-9,761.2E-3
559.0E-9,1.096
569.0E-9,1.337
579.0E-9,1.374
589.0E-9,1.190
599.0E-9,869.3E-3
609.0E-9,556.9E-3
619.0E-9,395.0E-3
629.0E-9,456.9E-3
639.0E-9,714.5E-3
649.0E-9,1.051
