time (s),sample(v("/TG_out" ?result "tran") 9n 649n "linear" 10n ) (V)
9.000E-9,1.066
19.00E-9,1.332
29.00E-9,1.404
39.00E-9,1.249
49.00E-9,934.8E-3
59.00E-9,606.0E-3
69.00E-9,412.7E-3
79.00E-9,441.6E-3
89.00E-9,679.3E-3
99.00E-9,1.018
109.0E-9,1.304
119.0E-9,1.408
129.0E-9,1.283
139.0E-9,984.4E-3
149.0E-9,647.7E-3
159.0E-9,427.7E-3
169.0E-9,423.3E-3
179.0E-9,635.8E-3
189.0E-9,969.5E-3
199.0E-9,1.272
209.0E-9,1.407
219.0E-9,1.314
229.0E-9,1.033
239.0E-9,692.0E-3
249.0E-9,447.2E-3
259.0E-9,409.5E-3
269.0E-9,594.8E-3
279.0E-9,920.0E-3
289.0E-9,1.236
299.0E-9,1.402
309.0E-9,1.341
319.0E-9,1.081
329.0E-9,738.3E-3
339.0E-9,471.2E-3
349.0E-9,400.5E-3
359.0E-9,556.9E-3
369.0E-9,870.4E-3
379.0E-9,1.198
389.0E-9,1.391
399.0E-9,1.363
409.0E-9,1.127
419.0E-9,786.2E-3
429.0E-9,499.3E-3
439.0E-9,396.3E-3
449.0E-9,522.2E-3
459.0E-9,821.0E-3
469.0E-9,1.156
479.0E-9,1.376
489.0E-9,1.382
499.0E-9,1.170
509.0E-9,835.2E-3
519.0E-9,531.4E-3
529.0E-9,396.9E-3
539.0E-9,491.3E-3
549.0E-9,772.4E-3
559.0E-9,1.112
569.0E-9,1.356
579.0E-9,1.395
589.0E-9,1.211
599.0E-9,884.9E-3
609.0E-9,567.1E-3
619.0E-9,402.4E-3
629.0E-9,464.4E-3
639.0E-9,725.0E-3
649.0E-9,1.066
