sample(v("/NMOS_out" ?result "tran") 9n 649n "linear" 10n ) (V),time (s)
1.054,9.000E-9
1.268,19.00E-9
1.318,29.00E-9
1.288,39.00E-9
926.7E-3,49.00E-9
597.7E-3,59.00E-9
407.8E-3,69.00E-9
439.9E-3,79.00E-9
677.6E-3,89.00E-9
1.009,99.00E-9
1.252,109.0E-9
1.314,119.0E-9
1.309,129.0E-9
977.4E-3,139.0E-9
639.1E-3,149.0E-9
422.3E-3,159.0E-9
421.2E-3,169.0E-9
634.4E-3,179.0E-9
962.0E-3,189.0E-9
1.230,199.0E-9
1.308,209.0E-9
1.319,219.0E-9
1.028,229.0E-9
683.0E-3,239.0E-9
441.3E-3,249.0E-9
407.1E-3,259.0E-9
593.7E-3,269.0E-9
914.1E-3,279.0E-9
1.204,289.0E-9
1.302,299.0E-9
1.323,309.0E-9
1.080,319.0E-9
729.2E-3,329.0E-9
464.8E-3,339.0E-9
397.6E-3,349.0E-9
555.9E-3,359.0E-9
865.6E-3,369.0E-9
1.172,379.0E-9
1.296,389.0E-9
1.324,399.0E-9
1.137,409.0E-9
777.0E-3,419.0E-9
492.4E-3,429.0E-9
392.9E-3,439.0E-9
521.3E-3,449.0E-9
817.2E-3,459.0E-9
1.136,469.0E-9
1.289,479.0E-9
1.323,489.0E-9
1.199,499.0E-9
826.2E-3,509.0E-9
524.0E-3,519.0E-9
393.1E-3,529.0E-9
490.2E-3,539.0E-9
769.4E-3,549.0E-9
1.097,559.0E-9
1.280,569.0E-9
1.321,579.0E-9
1.251,589.0E-9
876.2E-3,599.0E-9
559.2E-3,609.0E-9
398.0E-3,619.0E-9
463.0E-3,629.0E-9
722.7E-3,639.0E-9
1.054,649.0E-9
